[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  35.479 seconds
[CLASSIC3TRAIN path: indexes/classic3Train numberOfCategories: 3 , CLASSIC3TEST path: indexes/classic3Test numberOfCategories: 3 ]  47.739 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  45.183 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  54.248 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  21.151 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  20.174 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  12.880 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  10.872 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  38.986 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  46.771 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  22.225 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  25.244 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  40.903 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  2 minutes, 58.102 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  27.383 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  18.089 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  44.021 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  52.246 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  19.186 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  48.868 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  45.248 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  10.943 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  53.163 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  45.602 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  44.191 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  46.518 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  46.558 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  49.225 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  1 minutes, 8.923 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  24.928 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  19.355 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  47.723 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  46.494 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  19.569 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  7.331 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  8.973 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  8.346 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  7.732 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  8.357 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  7.864 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  8.379 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  9.897 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  4.056 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  4.834 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  53.687 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  10.922 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  24.857 seconds
[R4Train path: indexes/R4Train numberOfCategories: 4 , R4Test path: indexes/R4Test numberOfCategories: 4 ]  12.729 seconds
[CLASSIC4TRAIN path: indexes/classic4Train numberOfCategories: 4 , CLASSIC4TEST path: indexes/classic4Test numberOfCategories: 4 ]  1 minutes, 33.993 seconds
[CRISIS3TRAIN path: indexes/crisis3FireBombFloodTrain numberOfCategories: 3 , CRISIS3TEST path: indexes/crisis3FireBombFloodTest numberOfCategories: 3 ]  53.564 seconds
[NG5Train path: indexes/NG5Train numberOfCategories: 5 , NG5Test path: indexes/NG5Test numberOfCategories: 5 ]  1 minutes, 9.483 seconds
[R4Train path: indexes/R4Train numberOfCategories: 4 , R4Test path: indexes/R4Test numberOfCategories: 4 ]  52.553 seconds
